CalName,CaseId,StationName,π¶¬ ÷∏¡Ó(%),Idc,Ud,UdL,Udio,Pd,Pconv,miu,Ang,TC,Uac,Uv,Qconv,Qf_max,Qf_min,Udio_N,Uv_N,
≤‚ ‘1493816327,SGFH444,P’æ, 40.0000,  0.4000,492.3697,492.7917,268.7541,196.9478,196.5283, 10.8189, 17.9319,  -5,450.0000,199.0071, 86.4183,612.5112,532.5112,268.7541,199.0071,
≤‚ ‘1493816327,SGFH444,S’æ, 45.0000,  0.5850,500.0000,499.3831,270.5606,292.4999,293.1516, 13.1912, 14.6183,  -4,450.0000,200.3449,117.6503,740.3461,660.3461,270.5606,200.3449,
≤‚ ‘1493816327,SGFH444,K’æ, 45.0000,  0.1350,493.7545,493.9719,334.6675, 66.6569, 66.4892,  6.5054, 39.2699,  -4,190.0000,247.8147, 61.1179,361.8911,281.8911,334.6675,247.8147,
≤‚ ‘1493816327,SGFH444,P’æ, 45.0000,  0.4500,491.4160,491.8906,268.7541,221.1371,220.6399, 12.1161, 17.4051,  -5,450.0000,199.0071, 98.0315,612.5112,532.5112,268.7541,199.0071,
≤‚ ‘1493816327,SGFH444,S’æ, 50.0000,  0.6500,500.0000,499.3146,270.5606,324.9999,325.7611, 14.8544, 13.5043,  -4,450.0000,200.3449,130.1130,740.3461,660.3461,270.5606,200.3449,
≤‚ ‘1493816327,SGFH444,K’æ, 50.0000,  0.1500,493.0606,493.3021,334.6675, 73.9591, 73.7621,  7.2190, 38.9868,  -4,190.0000,247.8147, 68.0151,361.8911,281.8911,334.6675,247.8147,
≤‚ ‘1493816327,SGFH444,P’æ, 50.0000,  0.5000,490.4622,490.9896,272.2918,245.2310,244.6506, 12.3596, 19.1663,  -6,450.0000,201.6268,118.3521,612.5112,532.5112,272.2918,201.6268,
≤‚ ‘1493816327,SGFH444,S’æ, 55.0000,  0.7150,500.0000,499.2460,274.1681,357.4999,358.3781, 14.8627, 15.3732,  -5,450.0000,203.0161,156.3509,740.3461,660.3461,274.1681,203.0161,
≤‚ ‘1493816327,SGFH444,K’æ, 55.0000,  0.1650,492.3667,492.6323,334.6675, 81.2406, 81.0121,  7.9312, 38.7020,  -4,190.0000,247.8147, 74.9312,361.8911,281.8911,334.6675,247.8147,
≤‚ ‘1493816327,SGFH444,P’æ, 55.0000,  0.5500,489.5084,490.0885,272.2918,269.2295,268.5602, 13.5473, 18.6797,  -6,450.0000,201.6268,131.0738,612.5112,532.5112,272.2918,201.6268,
